ID,OrgID,Organization,Telephone,Address,Latitude,Longitude
1,1,UNICEF România,0212017872,"Bulevardul Primăverii 48A, București 11975",44.46867880791542,26.091481366229296
2,2,Asociația Moașelor Independente,0722265269,"Strada Marcel Iancu 11, București 020757",44.44496615532539,26.1186132
3,4,Rise Project,,"Calea Victoriei 21-23, București 030167",44.433582965565286,26.097805938607774
4,5,Rethink Romania,,"Strada Reînvierii 3-5, București 021122",44.45494915651493,26.121623356220567
5,7,MozaiQ,0764109385,"Strada Arcului 24, București 021034",44.438545869796016,26.111287582208867
6,8,WHO Romania,,"Bulevardul Primăverii 48a, București 014192",44.46867777177204,26.09147824103717
7,9,Ministry of Health,0213072500,"Strada Cristian Popișteanu 1-3, București 030167",44.43795372476226,26.098634045504955
8,10,Ministry of Education,0214056300,"Strada General H. M. Berthelot 28-30, București 010168",44.441916191184625,26.088872397324636
9,11,Ministry of Labour,0213158556,"Strada Demetru I. Dobrescu 2-4, București 030167",44.43914713140935,26.09861155499531
10,12,Ministry of Environment,0214089500,"Bulevardul Libertății 12, București 030167",44.42548308472223,26.091162197324067
11,13,National Institute for Public Health,0213183620,"Strada Doctor Leonte Anastasievici 1-3, București 050463",44.43619328893382,26.069534597324317
12,14,National Health Insurance House,0800800950,"Bloc S19, Calea Călărași 248, București 030634",44.431427009738556,26.136072183830567
13,15,Zi de Bine,0725565375,"Str. Uranus 150, București 021186",44.419764995919344,26.083618462809554
14,16,Agenția Națională pentru Programe Comunitare în Domeniul Educației și Formării Profesionale (ANPCDEFP),,"Splaiul Independenței 313, București 060042",44.44112468976046,26.051882100000004
15,18,Asociaţia Română de Psihiatrie a Copilului şi Adolescentului şi Profesii Asociate,0724797122,"Șoseaua Berceni 10, București 077160",44.38737887044235,26.127200395838294
16,21,Asociația Magic,,"Strada Grigore Cobălcescu 13, București 010191",44.43757519087523,26.086701603043377
17,21,Asociația Magic,0723658001,"Str. Caisului 23A, Dobroești 077085",44.46452017912403,26.17338312589167
18,25,Accept,021 252 56 20,"Strada Lirei 10, București 030167",44.44021259257864,26.125070520712406
19,27,Centrul de sănătate ARAS,0212100747,"Strada Ocolului 20, București 030167",44.44810657309641,26.11320834742314
20,34,Asociatia Umanitara Concordia,0311076981,"Drumul Regimentului 20D, București",44.50380040244529,26.052822779504574
21,35,Coalitia pentru Educatie,,"Strada Stelea Spătarul 22, București 030167",44.43174828428266,26.108403897324123
22,79,Hope Clinic,0724792901,"Strada Grâului 21, București 041273",44.39883580304745,26.111682119212983
23,79,Hope Clinic,0770142287,"Strada Virgil Pleșoianu 79 A, București 011526",44.4632239570727,26.067654599771448
24,79,Hope Clinic,0756120938,"Strada Sfântul Ștefan 7, București 023997",44.43584623038123,26.11654082860692
25,79,Hope Clinic,0755034328,"Strada Pădurii 9a, Cluj-Napoca 400347",46.752474373683626,23.586499071164535
26,79,Hope Clinic,0742444098,"Strada Bașotă 2, Iași 700082",47.16554595282679,27.59088452883546
27,79,Hope Clinic,0751497995,"Str. Arieș 3, Timișoara",45.7433271089653,21.237483797374118
28,89,Clinica Alegria,0770508524,"Strada Turnu Măgurele 240-242, București 041713",44.37768492904536,26.12353482883546
29,90,Clinica Nice,0790661600,"Bulevardul Regina Maria 23 Etaj 1, București 040122",44.42238560855346,26.093065339652867
30,91,Centrul Medical Bellanima,0731151153,"Str. Viitorului 26, zona Piata Gemeni, București 020612",44.44369675161542,26.110884868489265
31,92,Clinica Senex,0724222500,"Al. Obregia, nr. 25, bl. I4A, București 041721",44.3836148358696,26.115529468486933
32,92,Clinica Senex,0724222500,"Strada Crinului 1a, Pitești 110109",44.859042055857905,24.875254897340234
33,93,Clinica The Mind,0217812259,"Strada Ana Davila 13, București 050491",44.43298884880803,26.068201897324304
34,94,Clinica Aproape,0722187700,"Bulevardul Alexandru Ioan Cuza 13A, București 011051",44.44885319391322,26.08124872616022
35,95,Clinica Renia,0748662662,"Strada Doctor Nicolae Turnescu 11, București 050467",44.43531558858873,26.067281797324366
36,96,Clinica Psy For You,0744310310,"Strada Locotenent Aviator Vasile Fuică 70, București 012086",44.472837791535795,26.058272166641988
37,97,Maze Center,0749183354,"Strada Traian 107, București 030167",44.434002710076065,26.120708697324265
38,97,Maze Center,0749183354,"Piața Ștefan cel Mare 5, Cluj-Napoca 400192",46.76937232255608,23.597107697414096
39,98,Centrul de Psihoterapie IPSI,0731077076,"Intrarea Victor Eftimiu 5-7, București 010153",44.43667904977533,26.09370829732429
40,99,Clinica de Psihoterapie Oana Nicolau,0733303333,"Strada George Georgescu 46, București 065441",44.42373154638108,26.092434168488428